,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
262,Marcos Roberto da Silva Borges,Marcos R. S. Borges,1D,01/03/12,29/02/2016,UFRJ,Marcos R. S. Borges,/citations?user=mpUAlpoAAAAJ&hl=pt-BR,26.0,2516.0,15.0,1068.0
263,Marcus Rolf Peter Ritt,,2,01/03/13,29/02/2016,UFRGS,,,,,,
264,Marcus Vinicius Soledade Poggi de Aragao,Marcus Poggi,1C,01/03/14,28/02/2018,PUC-Rio,Marcus Poggi,/citations?user=tOei_80AAAAJ&hl=pt-BR,23.0,1850.0,14.0,964.0
265,Maria Claudia Reis Cavalcanti,,2,01/03/13,29/02/2016,IME,,,,,,
266,Maria Cristina Ferreira de Oliveira,Maria Cristina Ferreira de Oliveira,1C,01/03/14,28/02/2018,USP,Maria Cristina Ferreira de Oliveira,/citations?user=vhRUZogAAAAJ&hl=pt-BR,18.0,1580.0,13.0,781.0
267,Maria da Graca Campos Pimentel,Maria da Graa Campos Pimentel,1D,01/03/12,29/02/2016,USP,Maria da Graa Campos Pimentel,/citations?user=2z--uNYAAAAJ&hl=pt-BR,19.0,1472.0,12.0,624.0
268,Maria do Carmo Nicoletti,Maria do Carmo Nicoletti,2,01/03/13,29/02/2016,UFSCAR,Maria do Carmo Nicoletti,/citations?user=ByZ3btgAAAAJ&hl=pt-BR,10.0,452.0,7.0,249.0
269,Maria Emília Machado Telles Walter,,2,01/03/13,29/02/2016,UNB,,,,,,
270,Mário Fernando Montenegro Campos,Mario Campos,1B,01/03/14,28/02/2018,UFMG,Mario Campos,/citations?user=qWrXkPwAAAAJ&hl=pt-BR,24.0,2127.0,18.0,1065.0
271,Mario Roberto Folhadela Benevides,Mario Benevides,2,01/03/14,28/02/2017,UFRJ,Mario Benevides,/citations?user=O3lJvk4AAAAJ&hl=pt-BR,8.0,351.0,5.0,130.0
272,Marley Maria Bernardes Rebuzzi Vellasco,Marley Vellasco,1C,01/03/14,28/02/2018,PUC-Rio,Marley Vellasco,/citations?user=UWfQx2wAAAAJ&hl=pt-BR,22.0,2036.0,12.0,796.0
273,Marta Lima de Queiros Mattoso,Marta Mattoso,1C,01/03/11,28/02/2015,UFRJ,Marta Mattoso,/citations?user=ZPczFBAAAAAJ&hl=pt-BR,25.0,2585.0,20.0,1569.0
274,Martin Alejandro Musicante,Martin Musicante,2,01/03/13,29/02/2016,UFRN,Martin Musicante,/citations?user=2i36530AAAAJ&hl=pt-BR,10.0,339.0,6.0,136.0
275,Mauricio Ayala Rincon,Mauricio Ayala Rincon,1D,01/03/14,28/02/2018,UNB,Mauricio Ayala Rincon,/citations?user=hd3UcpsAAAAJ&hl=pt-BR,13.0,588.0,11.0,345.0
276,Maurício Ferreira Magalhães,Mauricio Magalhes,2,01/03/14,28/02/2017,UNICAMP,Mauricio Magalhes,/citations?user=ZqAfiTAAAAAJ&hl=pt-BR,14.0,781.0,12.0,467.0
277,Mauro Antonio Rincon,Mauro Antonio Rincon,2,01/03/14,28/02/2017,UFRJ,Mauro Antonio Rincon,/citations?user=hZksV-IAAAAJ&hl=pt-BR,7.0,148.0,5.0,73.0
278,Mauro Sergio Pereira Fonseca,,2,01/03/13,29/02/2016,PUC/PR,,,,,,
279,Miguel Elias Mitre Campista,Miguel Elias M. Campista,2,01/03/13,29/02/2016,UFRJ,Miguel Elias M. Campista,/citations?user=enLSHWoAAAAJ&hl=pt-BR,13.0,913.0,13.0,756.0
280,Mirella Moura Moro,Mirella M. Moro,2,01/03/13,29/02/2016,UFMG,Mirella M. Moro,/citations?user=MRbdeWkAAAAJ&hl=pt-BR,15.0,612.0,11.0,347.0
281,Mylene Christine Queiroz de Farias,,2,01/03/13,29/02/2016,UNB,,,,,,
282,Myriam Regattieri De Biase da Silva Delgado,Myriam Delgado,2,01/03/12,28/02/2015,UTFPR,Myriam Delgado,/citations?user=7B3ADs0AAAAJ&hl=pt-BR,13.0,610.0,10.0,344.0
283,Nabor das Chagas Mendonça,Nabor Mendonca,2,01/03/12,28/02/2015,UNIFOR,Nabor Mendonca,/citations?user=2DHxINoAAAAJ&hl=pt-BR,12.0,393.0,8.0,199.0
284,Nadia Nedjah,Nadia Nedjah,1D,01/03/14,28/02/2018,UERJ,Nadia Nedjah,/citations?user=aE-vExgAAAAJ&hl=pt-BR,18.0,1410.0,13.0,922.0
285,Nalvo Franco de Almeida Junior,Nalvo F Almeida Jr,2,01/03/14,28/02/2017,UFMS,Nalvo F Almeida Jr,/citations?user=kU9d-GIAAAAJ&hl=pt-BR,18.0,2962.0,16.0,1410.0
286,Nelson Delfino d'Ávila Mascarenhas,Nelson D. A. Mascarenhas,1B,01/03/14,28/02/2018,UFSCAR,Nelson D. A. Mascarenhas,/citations?user=NgJ68T0AAAAJ&hl=pt-BR,15.0,856.0,11.0,365.0
287,Nelson Luis Saldanha da Fonseca,,1B,01/03/11,28/02/2015,UNICAMP,,,,,,
288,Nelson Maculan Filho,,1A,01/03/10,28/02/2015,UFRJ,,,,,,
289,Nina Sumiko Tomita Hirata,Nina S. T. Hirata,2,01/03/13,29/02/2016,USP,Nina S. T. Hirata,/citations?user=SZFm4iwAAAAJ&hl=pt-BR,11.0,428.0,7.0,150.0
290,Nivio Ziviani,Nivio Ziviani,1A,01/03/12,28/02/2017,UFMG,Nivio Ziviani,/citations?user=OZ2ju_EAAAAJ&hl=pt-BR,32.0,3539.0,21.0,1480.0
291,Odemir Martinez Bruno,Odemir Martinez Bruno,1D,01/03/11,28/02/2015,USP,Odemir Martinez Bruno,/citations?user=LiQWYEIAAAAJ&hl=pt-BR,18.0,1457.0,16.0,1253.0
292,Olga Regina Pereira Bellon,Olga Regina Pereira Bellon,1D,01/03/14,28/02/2018,UFPR,Olga Regina Pereira Bellon,/citations?user=YBjOLlsAAAAJ&hl=pt-BR,16.0,1189.0,15.0,800.0
293,Orlando Gomes Loques Filho,Orlando Loques,2,01/03/13,29/02/2016,UFF,Orlando Loques,/citations?user=KlPc9LgAAAAJ&hl=pt-BR,17.0,836.0,12.0,462.0
294,Orlando Lee,Orlando Lee,2,01/03/12,28/02/2015,UNICAMP,Orlando Lee,/citations?user=b9ExoosAAAAJ&hl=pt-BR,6.0,146.0,4.0,103.0
295,Otávio Augusto Salgado Carpinteiro,,2,01/03/13,29/02/2016,UNIFEI,,,,,,
296,Paulo André Vechiatto de Miranda,Rosa Helena Miranda Grande,2,01/03/13,29/02/2016,USP,Rosa Helena Miranda Grande,/citations?user=O-YpNWkAAAAJ&hl=pt-BR,23.0,1541.0,20.0,998.0
297,Paulo Augusto Silva Veloso,,1A,01/03/10,28/02/2015,UFRJ,,,,,,
298,Paulo Cesar Masiero,P C Masiero,1D,01/03/11,28/02/2015,USP,P C Masiero,/citations?user=ZRqz9m4AAAAJ&hl=pt-BR,21.0,1775.0,15.0,770.0
299,Paulo Costa Carvalho,Beatriz Tavares Costa Carvalho,2,01/03/14,28/02/2017,FIOCRUZ,Beatriz Tavares Costa Carvalho,/citations?user=LdIOXEIAAAAJ&hl=pt-BR,18.0,1336.0,14.0,818.0
300,Paulo Eduardo Santos,Paulo E. Santos,2,01/03/12,28/02/2015,FEI,Paulo E. Santos,/citations?user=DBxdqQ8AAAAJ&hl=pt-BR,11.0,387.0,9.0,213.0
301,Paulo Henrique Lemelle Fernandes,Paulo Fernandes,2,01/03/14,28/02/2017,PUCRS,Paulo Fernandes,/citations?user=eIRnFt0AAAAJ&hl=pt-BR,19.0,1118.0,14.0,616.0
302,Paulo Henrique Monteiro Borba,Paulo Borba,1D,01/03/14,28/02/2018,UFPE,Paulo Borba,/citations?user=PpRDLgcAAAAJ&hl=pt-BR,28.0,3173.0,20.0,1494.0
303,Paulo Martins Engel,Paulo Martins Engel,2,01/03/13,29/02/2016,UFRGS,Paulo Martins Engel,/citations?user=3yK2X-MAAAAJ&hl=pt-BR,13.0,674.0,8.0,343.0
304,Paulo Roberto Freire Cunha,,1B,01/03/11,28/02/2015,UFPE,,,,,,
305,Paulo Roberto Oliveira,Paulo Roberto Oliveira,1D,01/03/14,28/02/2018,UFRJ,Paulo Roberto Oliveira,/citations?user=55Or75UAAAAJ&hl=pt-BR,13.0,599.0,10.0,407.0
306,Paulo Romero Martins Maciel,Paulo Romero Martins Maciel,1D,01/03/11,28/02/2015,UFPE,Paulo Romero Martins Maciel,/citations?user=bZVFwWwAAAAJ&hl=pt-BR,16.0,1324.0,13.0,877.0
307,Paulo Sérgio Licciardi Messeder Barreto,Paulo Barreto,1D,01/03/13,28/02/2017,USP,Paulo Barreto,/citations?user=kG_95CgAAAAJ&hl=pt-BR,25.0,4951.0,21.0,2575.0
308,Paulo Sérgio Sausen,Paulo Srgio Sausen,2,01/03/14,28/02/2017,UNIJUI,Paulo Srgio Sausen,/citations?user=r-ZtWCYAAAAJ&hl=pt-BR,9.0,317.0,8.0,278.0
309,Philippe Olivier Alexandre Navaux,Philippe Navaux,1D,01/03/11,28/02/2015,UFRGS,Philippe Navaux,/citations?user=tNIuJeUAAAAJ&hl=pt-BR,17.0,1261.0,13.0,743.0
310,Rafael Dueire Lins,Rafael Dueire Lins,1C,01/03/12,29/02/2016,UFPE,Rafael Dueire Lins,/citations?user=9sjAiWYAAAAJ&hl=pt-BR,22.0,2716.0,13.0,821.0
311,Rafael Heitor Bordini,Rafael H. Bordini,2,01/03/13,29/02/2016,PUCRS,Rafael H. Bordini,/citations?user=PAs5hY4AAAAJ&hl=pt-BR,35.0,4317.0,20.0,2276.0
312,Rafael Prikladnicki,Rafael Prikladnicki,2,01/03/13,29/02/2016,PUCRS,Rafael Prikladnicki,/citations?user=_W9zu7sAAAAJ&hl=pt-BR,20.0,1544.0,15.0,1051.0
313,Raphael Carlos Santos Machado,,2,01/03/13,29/02/2016,INMETRO,,,,,,
314,Raquel Aparecida de Freitas Mini,,2,01/03/13,29/02/2016,PUC Minas,,,,,,
315,Raquel Cardoso de Melo Minardi,Raquel Cardoso de Melo-Minardi,2,01/03/13,29/02/2016,UFMG,Raquel Cardoso de Melo-Minardi,/citations?user=FnfdiqQAAAAJ&hl=pt-BR,8.0,4448.0,7.0,4399.0
316,Regina Borges de Araujo,,2,01/03/12,28/02/2015,UFSCAR,,,,,,
317,Regivan Hugo Nunes Santiago,Regivan H. N. Santiago,2,01/03/13,29/02/2016,UFRN,Regivan H. N. Santiago,/citations?user=vWW-svIAAAAJ&hl=pt-BR,9.0,402.0,8.0,318.0
318,Renata Galante,Renata Galante,2,01/03/13,29/02/2016,UFRGS,Renata Galante,/citations?user=QoMBjT4AAAAJ&hl=pt-BR,9.0,226.0,9.0,169.0
319,Renata Hax Sander Reiser,,2,01/03/14,28/02/2017,UFPEL,,,,,,
320,Renata Maria Cardoso Rodrigues de Souza,,2,01/03/13,29/02/2016,UFPE,,,,,,
321,Renata Pereira de Freitas,,2,01/03/13,29/02/2016,UFF,,,,,,
322,Renata Vieira,Renata Vieira,2,01/03/13,29/02/2016,PUCRS,Renata Vieira,/citations?user=5Lw-0-UAAAAJ&hl=pt-BR,24.0,2429.0,15.0,996.0
323,Renata Wassermann,Renata Wassermann,2,01/03/14,28/02/2017,USP,Renata Wassermann,/citations?user=_CyspwkAAAAJ&hl=pt-BR,12.0,685.0,10.0,375.0
324,Renato Antonio Celso Ferreira,Renato Antnio Celso Ferreira,1D,01/03/14,28/02/2018,UFMG,Renato Antnio Celso Ferreira,/citations?user=Y7Ce3MUAAAAJ&hl=pt-BR,18.0,1491.0,13.0,523.0
325,Renato Antonio Krohling,Renato Krohling,2,01/03/13,29/02/2016,UFES,Renato Krohling,/citations?user=tMF1OYIAAAAJ&hl=pt-BR,19.0,1754.0,17.0,1123.0
326,Renato Mariz de Moraes,Renato Mariz de Moraes,2,01/03/12,28/02/2015,UNB,Renato Mariz de Moraes,/citations?user=zkH2IT8AAAAJ&hl=pt-BR,9.0,292.0,6.0,132.0
327,Renato Portugal,,1D,01/03/12,29/02/2016,LNCC,,,,,,
328,Renato Tinós,Renato Tins,2,01/03/12,28/02/2015,USP,Renato Tins,/citations?user=Ma9KkwsAAAAJ&hl=pt-BR,13.0,639.0,10.0,389.0
329,Ricardo Alexandre Reinaldo de Moraes,,2,01/03/14,28/02/2017,UFSC,,,,,,
330,Ricardo da Silva Torres,Ricardo da Silva Torres,1D,01/03/13,28/02/2017,UNICAMP,Ricardo da Silva Torres,/citations?user=IGZ5WmgAAAAJ&hl=pt-BR,23.0,2148.0,22.0,1690.0
331,Ricardo Dahab,Ricardo Dahab,2,01/03/12,28/02/2015,UNICAMP,Ricardo Dahab,/citations?user=0wWyXsMAAAAJ&hl=pt-BR,21.0,2400.0,16.0,1303.0
332,Ricardo Farias,Ricardo Faria Ribeiro,2,01/03/14,28/02/2017,UFRJ,Ricardo Faria Ribeiro,/citations?user=kLrCkB8AAAAJ&hl=pt-BR,20.0,1117.0,18.0,859.0
333,Ricardo Guerra Marroquim,Ricardo Marroquim,2,01/03/13,29/02/2016,UFRJ,Ricardo Marroquim,/citations?user=VNSYnOAAAAAJ&hl=pt-BR,7.0,173.0,7.0,133.0
334,Ricardo Martins de Abreu Silva,Ricardo Oliveira da Silva,2,01/03/13,29/02/2016,UFPE,Ricardo Oliveira da Silva,/citations?user=PKLboVoAAAAJ&hl=pt-BR,6.0,151.0,6.0,119.0
335,Ricardo Massa Ferreira Lima,Ricardo Massa Ferreira Lima,2,01/03/13,29/02/2016,UFPE,Ricardo Massa Ferreira Lima,/citations?user=b3YHn_EAAAAJ&hl=pt-BR,12.0,573.0,10.0,387.0
336,Roberto Hirata Junior,Roberto Hirata Jr,2,01/03/14,28/02/2017,USP,Roberto Hirata Jr,/citations?user=Z6UgkRkAAAAJ&hl=pt-BR,16.0,801.0,10.0,296.0
337,Roberto Marcondes Cesar Junior,Roberto M Cesar-Jr,1B,01/03/11,28/02/2015,USP,Roberto M Cesar-Jr,/citations?user=yGsck-AAAAAJ&hl=pt-BR,28.0,3705.0,16.0,1804.0
338,Rodolfo Jardim de Azevedo,Rodolfo Azevedo,2,01/03/12,28/02/2015,UNICAMP,Rodolfo Azevedo,/citations?user=yjK-jq0AAAAJ&hl=pt-BR,12.0,635.0,8.0,377.0
339,Rodrigo Fernandes de Mello,Rodrigo Fernandes de Mello,2,01/03/12,28/02/2015,USP,Rodrigo Fernandes de Mello,/citations?user=DYjyZjgAAAAJ&hl=pt-BR,12.0,497.0,8.0,259.0
340,Rohit Gheyi,Rohit Gheyi,2,01/03/14,28/02/2017,UFCG,Rohit Gheyi,/citations?user=14EDC6QAAAAJ&hl=pt-BR,14.0,777.0,10.0,508.0
341,Rômulo Silva de Oliveira,Rmulo Silva de Oliveira,2,01/03/13,29/02/2016,UFSC,Rmulo Silva de Oliveira,/citations?user=xkz3ZAoAAAAJ&hl=pt-BR,8.0,433.0,7.0,188.0
342,Ronaldo Fumio Hashimoto,Ronaldo Fumio Hashimoto,2,01/03/14,28/02/2017,USP,Ronaldo Fumio Hashimoto,/citations?user=SBu22bUAAAAJ&hl=pt-BR,11.0,644.0,9.0,284.0
343,Ronaldo Moreira Salles,Ronaldo M Salles,2,01/03/14,28/02/2017,IME,Ronaldo M Salles,/citations?user=aWwpbIAAAAAJ&hl=pt-BR,10.0,297.0,8.0,212.0
344,Rosa Maria Meri Leão,Rosa Leao,2,01/03/12,28/02/2015,UFRJ,Rosa Leao,/citations?user=l1BE1DAAAAAJ&hl=pt-BR,10.0,356.0,8.0,240.0
345,Rosa Maria Vicari,Rosa Maria Vicari,2,01/03/12,28/02/2015,UFRGS,Rosa Maria Vicari,/citations?user=XsX10SQAAAAJ&hl=pt-BR,20.0,1741.0,13.0,718.0
346,Rosane Minghim,Rosane Minghim,1D,01/03/12,29/02/2016,USP,Rosane Minghim,/citations?user=TodwpSwAAAAJ&hl=pt-BR,17.0,1217.0,14.0,742.0
347,Roseli Aparecida Francelin Romero,Roseli Aparecida Francelin Romero,2,01/03/13,29/02/2016,USP,Roseli Aparecida Francelin Romero,/citations?user=pdtTa-8AAAAJ&hl=pt-BR,13.0,915.0,8.0,462.0
348,Roseli Suzi Wedemann,,2,01/03/14,28/02/2017,UERJ,,,,,,
349,Rudinei Goularte,Rudinei Goularte,2,01/03/14,28/02/2017,USP,Rudinei Goularte,/citations?user=6lc68RgAAAAJ&hl=pt-BR,13.0,547.0,9.0,288.0
350,Rudini Menezes Sampaio,,2,01/03/13,29/02/2016,UFC,,,,,,
351,Ruy Luiz Milidiu,,2,01/03/14,28/02/2017,PUC-Rio,,,,,,
352,Sandra Aparecida de Amo,Sandra de Amo,2,01/03/14,28/02/2017,UFU,Sandra de Amo,/citations?user=cIFySg0AAAAJ&hl=pt-BR,11.0,466.0,9.0,228.0
353,Sandro Rigo,Sandro Rigo,2,01/03/12,28/02/2015,UNICAMP,Sandro Rigo,/citations?user=Bkd9ZXkAAAAJ&hl=pt-BR,11.0,480.0,7.0,269.0
354,Sebastián Alberto Urrutia,Sebastin Urrutia,2,01/03/14,28/02/2017,UFMG,Sebastin Urrutia,/citations?user=mPBETD0AAAAJ&hl=pt-BR,14.0,611.0,12.0,454.0
355,Sergio Castelo Branco Soares,Sergio Soares,2,01/03/14,28/02/2017,UFPE,Sergio Soares,/citations?user=Jqll4wwAAAAJ&hl=pt-BR,17.0,1785.0,12.0,991.0
356,Sheila Regina Murgel Veloso,,1D,01/03/12,29/02/2016,UERJ,,,,,,
357,Siang Wun Song,Siang Wun Song,1A,01/03/10,28/02/2015,USP,Siang Wun Song,/citations?user=GUKwkz6-V8cC&hl=pt-BR,15.0,987.0,8.0,233.0
358,Silvia Regina Vergilio,,2,01/03/13,29/02/2016,UFPR,,,,,,
359,Silvio do Lago Pereira,Silvio do Lago Pereira,2,01/03/13,29/02/2016,CEETEPS,Silvio do Lago Pereira,/citations?user=Kv0YlEoAAAAJ&hl=pt-BR,4.0,96.0,4.0,53.0
360,Simone Dantas de Souza,,1D,01/03/14,28/02/2018,UFF,,,,,,
361,Simone Diniz Junqueira Barbosa,Simone Diniz Junqueira Barbosa,2,01/03/13,29/02/2016,PUC-Rio,Simone Diniz Junqueira Barbosa,/citations?user=DEayOYgAAAAJ&hl=pt-BR,20.0,2254.0,12.0,994.0
362,Siome Klein Goldenstein,Siome Goldenstein,1D,01/03/14,28/02/2018,UNICAMP,Siome Goldenstein,/citations?user=6uBpaf0AAAAJ&hl=pt-BR,17.0,1118.0,14.0,777.0
363,Soraia Raupp Musse,Soraia Raupp Musse,1D,01/03/13,28/02/2017,PUCRS,Soraia Raupp Musse,/citations?user=MyKLYVMAAAAJ&hl=pt-BR,23.0,2430.0,16.0,1181.0
364,Stênio Flávio de Lacerda Fernandes,Stenio Fernandes,2,01/03/14,28/02/2017,UFPE,Stenio Fernandes,/citations?user=4UjuNLkAAAAJ&hl=pt-BR,13.0,662.0,11.0,551.0
365,Sulamita Klein,,1B,01/08/13,28/02/2015,UFRJ,,,,,,
366,Susana Scheimberg de Makler,,1C,01/03/12,29/02/2016,UFRJ,,,,,,
367,Teresa Bernarda Ludermir,teresa ludermir,1A,01/08/13,29/02/2016,UFPE,teresa ludermir,/citations?user=_gfWCUsAAAAJ&hl=pt-BR,19.0,3288.0,15.0,1884.0
368,Thais Vasconcelos Batista,Thais Batista,2,01/03/14,28/02/2017,UFRN,Thais Batista,/citations?user=i09uEnwAAAAJ&hl=pt-BR,17.0,1288.0,14.0,712.0
369,Thiago Ferreira de Noronha,Thiago F. Noronha,2,01/03/13,29/02/2016,UFMG,Thiago F. Noronha,/citations?user=9HUwdVkAAAAJ&hl=pt-BR,10.0,285.0,8.0,191.0
370,Tiago Alessandro Espinola Ferreira,Tiago A. E. Ferreira,2,01/03/13,29/02/2016,UFRPE,Tiago A. E. Ferreira,/citations?user=MW57c1UAAAAJ&hl=pt-BR,11.0,541.0,9.0,357.0
371,Uira Kulesza,Uir Kulesza,2,01/03/13,29/02/2016,UFRN,Uir Kulesza,/citations?user=-lb3qmgAAAAJ&hl=pt-BR,23.0,2721.0,18.0,1585.0
372,Valmir Carneiro Barbosa,,1A,01/03/10,28/02/2015,UFRJ,,,,,,
373,Vanessa Braganholo Murta,,2,01/03/14,28/02/2017,UFF,,,,,,
374,Vinícius Gusmão Pereira de Sá,Vincius Gusmo Pereira de S,2,01/03/13,29/02/2016,UFRJ,Vincius Gusmo Pereira de S,/citations?user=n5VNq9wAAAAJ&hl=pt-BR,4.0,54.0,3.0,36.0
375,Virgilio Augusto Fernandes Almeida,Virgilio Almeida,1A,01/03/10,28/02/2015,UFMG,Virgilio Almeida,/citations?user=Wbi6RfAAAAAJ&hl=pt-BR,40.0,7528.0,32.0,3879.0
376,Vivek Nigam,Vivek Nigam,2,01/03/13,29/02/2016,UFPB,Vivek Nigam,/citations?user=I_wEMfsAAAAJ&hl=pt-BR,10.0,307.0,9.0,262.0
377,Viviane Pereira Moreira,Viviane P. Moreira,2,01/03/15,29/02/2016,UFRGS,Viviane P. Moreira,/citations?user=-l5-OIQAAAAJ&hl=pt-BR,10.0,388.0,8.0,234.0
378,Viviane Pereira Moreira,Viviane P. Moreira,2,01/03/12,28/02/2015,UFRGS,Viviane P. Moreira,/citations?user=-l5-OIQAAAAJ&hl=pt-BR,10.0,388.0,8.0,234.0
379,Wagner Meira Junior,"Wagner Meira, Jr.",1C,01/03/10,29/02/2016,UFMG,"Wagner Meira, Jr.",/citations?user=oad6_oEAAAAJ&hl=pt-BR,33.0,3986.0,25.0,2188.0
380,Wagner Meira Junior,"Wagner Meira, Jr.",1C,01/03/16,28/02/2017,UFMG,"Wagner Meira, Jr.",/citations?user=oad6_oEAAAAJ&hl=pt-BR,33.0,3986.0,25.0,2188.0
381,Waldemar Celes Filho,,2,01/03/12,28/02/2015,PUC-Rio,,,,,,
382,William Robson Schwartz,William Robson Schwartz,2,01/03/14,28/02/2017,UFMG,William Robson Schwartz,/citations?user=koXKq5EAAAAJ&hl=pt-BR,13.0,1189.0,13.0,1099.0
383,Wu Shin-Ting,,2,01/03/13,29/02/2016,UNICAMP,,,,,,
384,Yoshiharu Kohayakawa,Yoshiharu Kohayakawa,1A,01/03/14,28/02/2019,USP,Yoshiharu Kohayakawa,/citations?user=EC6p9kIAAAAJ&hl=pt-BR,27.0,2134.0,19.0,1106.0
385,Yoshiko Wakabayashi,Yoshiko Wakabayashi,1A,01/03/11,29/02/2016,USP,Yoshiko Wakabayashi,/citations?user=m_ljtMkAAAAJ&hl=pt-BR,18.0,1256.0,11.0,531.0
386,Yoshiko Wakabayashi,Yoshiko Wakabayashi,1A,01/03/16,28/02/2017,USP,Yoshiko Wakabayashi,/citations?user=m_ljtMkAAAAJ&hl=pt-BR,18.0,1256.0,11.0,531.0
387,Yuri Abitbol de Menezes Frota,Yuri Frota,2,01/03/13,29/02/2016,UFF,Yuri Frota,/citations?user=fTsmjYkAAAAJ&hl=pt-BR,5.0,109.0,5.0,85.0
388,Zanoni Dias,Zanoni Dias,2,01/03/13,29/02/2016,UNICAMP,Zanoni Dias,/citations?user=DI_Wyj0AAAAJ&hl=pt-BR,13.0,667.0,11.0,342.0
389,Zhao Liang,zhao-liang li,1C,01/03/12,29/02/2016,USP,zhao-liang li,/citations?user=JtlJmS8AAAAJ&hl=pt-BR,35.0,6537.0,31.0,3701.0
